DEG ID	Gene Name
DEG20011057	SUI3
DEG20011058	IQG1
DEG20011059	SRP68
DEG20011060	YAH1
DEG20011061	BBP1
DEG20011062	DIM1
DEG20011063	RPA135
DEG20011064	TIF6
DEG20011065	MCM4
DEG20011066	CCL1
DEG20011067	HTS1
DEG20011068	ARP7
DEG20011069	GLN1
DEG20011070	TIP41
DEG20011071	TIF5
DEG20011072	TAH18
DEG20011073	SEC8
DEG20011074	TFB4
DEG20011075	DIB1
DEG20011076	ASA1
DEG20011077	SUA7
DEG20011078	SRP54
DEG20011079	RDS3
DEG20011080	PRE2
DEG20011081	FHL1
DEG20011082	COG4
DEG20011083	YTH1
DEG20011084	RPN7
DEG20011085	RPC40
DEG20011086	DBF20
DEG20011087	MRD1
DEG20011088	PIS1
DEG20011089	CLB5
DEG20011090	CTR1
DEG20011091	YLH47
DEG20011092	SPN1
DEG20011093	RRP9
DEG20011094	RRP15
DEG20011095	NOC4
DEG20011096	SGV1
DEG20011097	ORC4
DEG20011098	RHO1
DEG20011099	NUT2
DEG20011100	JIP5
DEG20011101	DPB2
DEG20011102	BET2
DEG20011103	PRP4
DEG20011104	AOS1
DEG20011105	SEC23
DEG20011106	SMX3
DEG20011107	DPM1
DEG20011108	PZF1
DEG20011109	RPO26
DEG20011110	RPC82
