ENST00000291442	P10588
ENST00000291552	Q01081-1
ENST00000291572	Q9NRZ7-1
ENST00000291576	Q15269
ENST00000291577	P0DPI2-1
ENST00000291900	Q7Z7L7
ENST00000292123	Q15424-1
ENST00000292211	Q7Z7E8-1
ENST00000292314	J3KR35
ENST00000292363	Q9BV68
ENST00000292431	Q96RE7
ENST00000292475	P56134-1
ENST00000292494	Q16553
ENST00000292524	Q15048
ENST00000292562	Q9BRH9
ENST00000292577	Q96GS6-1
ENST00000292599	Q92585
ENST00000292614	P52435
ENST00000292807	Q96CW1-1
ENST00000292823	P49585
ENST00000293217	Q15067-2
ENST00000293328	P51692
ENST00000293362	P61289-2
ENST00000293406	Q3MHD2-1
ENST00000293760	Q8NC56-1
ENST00000293777	Q9P086
ENST00000294172	Q9UBU9-1
ENST00000294179	Q13190-1
ENST00000294189	P47914
ENST00000294258	O95159
ENST00000294353	Q9C0D3-1
ENST00000294360	Q9NWV4
ENST00000295087	Q9Y689-1
ENST00000295317	Q8NC42
ENST00000295321	Q96ST2-1
ENST00000295470	O14979-1
ENST00000295491	Q9Y3D5
ENST00000295682	Q8N6L1-1
ENST00000295702	P43308
ENST00000295770	Q8TCJ2
ENST00000295899	Q6I9Y2
ENST00000295901	Q15008-1
ENST00000295955	P32969
ENST00000296102	O75394-1
ENST00000296255	P04843
ENST00000296257	Q9HC62-1
ENST00000296288	F8W6N3
ENST00000296412	P11766
ENST00000296424	Q9BUT1-1
ENST00000296425	O15173-1
ENST00000296444	Q8N114-1
ENST00000296456	P13798
ENST00000296490	Q6UXN9
ENST00000296577	P61221
ENST00000296582	Q9NVA4-1
ENST00000296597	Q8N183
ENST00000296674	P62266
ENST00000296802	A0A0A0MQZ6
ENST00000297071	Q13595-1
ENST00000297151	O95391
ENST00000297156	P49069
ENST00000297157	Q8TA86
ENST00000297185	P38646
ENST00000297290	O95415-1
ENST00000297338	O60216
ENST00000298130	Q969W0
ENST00000298289	Q969Q0
ENST00000298299	P17026
ENST00000298585	Q96E35
ENST00000298818	J3QSS7
ENST00000298852	P17980
ENST00000298894	Q96BY2
ENST00000299130	Q9P287-4
ENST00000299166	O95169-1
ENST00000299259	P61201-2
ENST00000299299	P61457
ENST00000299300	P78371-1
ENST00000299424	Q12962
ENST00000299427	O14773-1
ENST00000299608	Q96JJ7-1
ENST00000299767	P14625
ENST00000299980	O43747-1
ENST00000300026	P23284
ENST00000300030	Q9H5X1-1
ENST00000300086	Q9NYB0
ENST00000300107	O76031
ENST00000300146	Q86TB9-1
ENST00000300151	Q9NX20
ENST00000300181	Q9Y3Q8-1
ENST00000300278	P18583-3
ENST00000300289	P30101
ENST00000300291	O43809
ENST00000300408	P35232-1
ENST00000300452	Q9Y3A0-1
ENST00000300574	P46108-1
ENST00000300648	Q92616
ENST00000300688	O75964
ENST00000300737	Q13586-1
ENST00000300933	A0A5F9UKJ4
ENST00000301011	Q86VM9
ENST00000301264	O43293-1
ENST00000301281	Q9BZV1-1
ENST00000301364	Q2NL82
ENST00000301458	Q9NPF0-1
ENST00000301463	Q8NCJ5
ENST00000301488	O75956
ENST00000301522	P32119-1
ENST00000301585	Q14197
ENST00000301587	O75947-1
ENST00000301678	Q9H0X4-1
ENST00000301686	Q96S19-1
ENST00000301727	Q66K89
ENST00000301738	Q9NXV2
ENST00000301740	Q9UQ35-1
ENST00000301764	Q16531-1
ENST00000301765	A5D8V6
ENST00000301785	Q1KMD3
ENST00000301821	P08865
ENST00000301935	Q04323-1
ENST00000301964	O75528-1
ENST00000302165	Q8IU81
ENST00000302174	Q9BW91-1
ENST00000302182	P0CG47
ENST00000302243	Q9NUU7-1
ENST00000302362	Q9NQ92
ENST00000302386	O95166
ENST00000302392	Q69YG0
ENST00000302418	P33176
ENST00000302422	Q8N2U0
ENST00000302424	A0A2U3TZI0
ENST00000302445	Q15046-1
ENST00000302503	Q9Y6C9
ENST00000302631	O14828-1
ENST00000302787	O95202-1
ENST00000302907	P46781
ENST00000302979	P0DPB6-1
ENST00000303127	Q12907
ENST00000303151	O75817
ENST00000303305	Q9UQ80-1
ENST00000303319	Q9H3L0
ENST00000303391	P51608-1
ENST00000303400	Q7L5Y9-1
ENST00000303407	Q15059-1
ENST00000303436	P18085
ENST00000303538	Q29RF7-1
ENST00000303545	Q8WU17
ENST00000303575	P49755
ENST00000303577	Q15365
ENST00000303596	Q96EK4
ENST00000303731	Q9Y5R8
ENST00000303961	Q96KS0-1
ENST00000304043	P49773
ENST00000304056	Q8IY47
ENST00000304191	Q9BTL3
ENST00000304301	Q9BRJ7-1
ENST00000304312	P56385
ENST00000304332	O75367-3
ENST00000304414	Q15041-1
ENST00000304478	Q9HC36
ENST00000304734	Q6DKI1-1
ENST00000304786	P49458-1
ENST00000304800	Q9BTX3-1
ENST00000304858	P34932-1
ENST00000304979	O43447-1
ENST00000304992	Q6P2Q9
ENST00000305105	O43257
ENST00000305218	P31948-1
ENST00000305533	Q6IBS0
ENST00000305536	Q9Y388
ENST00000305596	O95400
ENST00000305786	P99999
ENST00000305943	Q5TA31
ENST00000305978	P57086
ENST00000306024	P62310
ENST00000306058	Q76L82
ENST00000306077	Q9BTV4
ENST00000306193	Q8N4T8-1
ENST00000306368	Q9P0P0
ENST00000306384	O95183
ENST00000306562	Q499Z4
ENST00000306585	P0CG12
ENST00000306739	Q9BZE9-1
ENST00000306802	H3BLT5
ENST00000306917	Q9UK73
ENST00000307102	Q02750-1
ENST00000307149	P83436
ENST00000307630	P61981
ENST00000307720	Q08752
ENST00000307771	Q15696
ENST00000307839	P61313-1
ENST00000307961	P36578
ENST00000308020	Q9BVG9
ENST00000308025	Q9BUQ8-1
ENST00000308110	Q96NY9
ENST00000308153	Q71UI9-1
ENST00000308162	P23528
ENST00000308271	Q86UV5-1
ENST00000308436	F5H0R1
ENST00000308511	Q8N163-1
ENST00000308595	P25098
ENST00000308677	P17612-1
ENST00000308683	Q969S3
ENST00000308696	Q99460-1
ENST00000308774	Q9UI30-2
ENST00000308775	Q14118
ENST00000308824	Q9NV79-1
ENST00000308893	Q9UL54-1
ENST00000308924	P26368-1
ENST00000308961	Q86Y39-1
ENST00000308982	Q9H845
ENST00000309032	Q92934
ENST00000309100	Q16584-1
ENST00000309117	O14972-1
ENST00000309137	Q9GZU8
ENST00000309244	P38117-1
ENST00000309246	Q5W0H4
ENST00000309268	P68104
ENST00000309311	P13639
ENST00000309318	Q96C90
ENST00000309324	Q5XKP0
ENST00000309328	O60232
ENST00000309352	Q96DV4-1
ENST00000309422	P49765-1
ENST00000309428	Q86VR2-1
ENST00000309534	Q9UFW8
ENST00000309579	Q96IX5
ENST00000309594	Q9BQC6
ENST00000309859	Q9UJY4
ENST00000309971	Q53GS7-1
ENST00000309993	Q9HCI7-1
ENST00000310074	Q86TJ2-1
ENST00000310092	Q9BWF3-1
ENST00000310137	Q96PK6-1
ENST00000310144	P62195-1
ENST00000310300	O75427
ENST00000310331	O60516
ENST00000310430	O95271-1
ENST00000310512	Q7L2J0-1
ENST00000310653	P20340-2
ENST00000310847	Q9NXR5-2
ENST00000310864	Q15051-1
ENST00000310931	Q00341-1
ENST00000311086	Q96IK1-1
ENST00000311111	P63173
ENST00000311128	Q8IWF6
ENST00000311141	Q9BQ24-1
ENST00000311181	O43505
ENST00000311212	Q9Y5V0
ENST00000311351	O15116
ENST00000311481	Q9H0U4
ENST00000311502	Q3YEC7-1
